game_id,team_id,hits,blocked_shots,giveaways,takeaways,pims,powerPlayGoals
2025020893,6,24,12,21,4,15,1
2025020893,13,26,20,16,4,25,2
2025020894,16,14,12,17,3,4,0
2025020894,29,12,11,7,6,8,0
2025020895,8,21,11,11,8,8,1
2025020895,52,15,16,21,1,4,1
2025020896,18,14,17,17,6,9,2
2025020896,30,26,12,15,2,11,1
2025020897,21,16,6,12,7,8,0
2025020897,28,24,21,22,5,8,0
2025020898,17,24,5,10,4,11,1
2025020898,68,15,15,9,3,13,1
2025020899,19,28,10,18,5,8,1
2025020899,25,24,18,13,2,10,1
2025020900,20,19,13,19,5,15,2
2025020900,22,6,11,7,4,13,2
2025020901,23,21,9,18,5,2,0
2025020901,54,18,11,20,5,2,0
